instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed81_J20_M10,"[0.018898, 0.938604]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5329,5,2001,0.8031964302062988,0.16590354663163828,False,4444.9,10,-1,4444.9
Uniform1-5000_Seed81_J20_M10,"[0.018898, 0.938604]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5329,12,12,0.009544610977172852,0.16590354663163828,True,5329.0,10,-1,4444.9
Uniform1-5000_Seed82_J20_M10,"[0.025937, 0.893461]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5844,302,2001,1.045081377029419,0.12915811088295692,False,5089.2,10,-1,5089.2
Uniform1-5000_Seed82_J20_M10,"[0.025937, 0.893461]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5862,12,12,0.0013880729675292969,0.1318321392016377,True,5459.0,10,-1,5089.2
Uniform1-5000_Seed83_J20_M10,"[0.048174, 0.872977]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6368,34,2001,1.009706974029541,0.11334798994974878,False,5646.2,10,-1,5646.2
Uniform1-5000_Seed83_J20_M10,"[0.048174, 0.872977]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6526,12,12,0.004174470901489258,0.13481458780263564,True,6247.0,10,-1,5646.2
Uniform1-5000_Seed84_J20_M10,"[0.053931, 0.881761]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6782,9,2001,0.7589051723480225,0.1715865526393394,False,5618.3,10,-1,5618.3
Uniform1-5000_Seed84_J20_M10,"[0.053931, 0.881761]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6999,12,12,0.018829822540283203,0.1972710387198171,True,6910.0,10,-1,5618.3
Uniform1-5000_Seed85_J20_M10,"[0.066961, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5183,2,2,0.0009999275207519531,0.08084121165348254,True,4764.0,0,-1,4764.0
Uniform1-5000_Seed85_J20_M10,"[0.066961, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5183,2,2,0.0009992122650146484,0.08084121165348254,True,4764.0,0,-1,4764.0
Uniform1-5000_Seed86_J20_M10,"[0.071309, 0.930435]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5998,809,2001,1.44691801071167,0.12090696898966319,False,5272.8,10,-1,5272.8
Uniform1-5000_Seed86_J20_M10,"[0.071309, 0.930435]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5998,13,13,0.006182432174682617,0.12090696898966319,True,5824.0,11,-1,5272.8
Uniform1-5000_Seed87_J20_M10,"[0.013279, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5105,73,73,0.0385587215423584,0.08540646425073457,True,4669.0,11,-1,4669.0
Uniform1-5000_Seed87_J20_M10,"[0.013279, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5167,15,16,0.00853872299194336,0.09638087865299012,True,4775.0,12,-1,4669.0
Uniform1-5000_Seed88_J20_M10,"[0.001571, 0.969320]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5647,197,2001,1.2842249870300293,0.09842394191606166,False,5091.2,11,-1,5091.2
Uniform1-5000_Seed88_J20_M10,"[0.001571, 0.969320]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5541,14,14,0.006706953048706055,0.0811766829092222,True,5297.0,12,-1,5091.2
Uniform1-5000_Seed89_J20_M10,"[0.050606, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5163,3,3,0.0023179054260253906,0.073794305636258,True,4782.0,1,-1,4782.0
Uniform1-5000_Seed89_J20_M10,"[0.050606, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5163,3,3,0.0019960403442382812,0.073794305636258,True,4782.0,1,-1,4782.0
Uniform1-5000_Seed90_J20_M10,"[0.022032, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5202,7,7,0.0024063587188720703,0.05767012687427912,True,4902.0,5,-1,4902.0
Uniform1-5000_Seed90_J20_M10,"[0.022032, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5337,8,8,0.004467487335205078,0.08150646430578977,True,4902.0,6,-1,4902.0
Uniform1-5000_Seed91_J20_M10,"[0.031164, 0.988130]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5449,14,14,0.009060144424438477,0.07546338777757383,True,5037.8,12,-1,5037.8
Uniform1-5000_Seed91_J20_M10,"[0.031164, 0.988130]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5591,26,26,0.01652812957763672,0.09894473260597385,True,5075.0,12,-1,5037.8
Uniform1-5000_Seed92_J20_M10,"[0.008839, 0.932168]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6130,791,2001,1.114384651184082,0.15106035889070146,False,5204.0,10,-1,5204.0
Uniform1-5000_Seed92_J20_M10,"[0.008839, 0.932168]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5822,13,13,0.008909225463867188,0.10614908965991068,True,5419.0,10,-1,5204.0
Uniform1-5000_Seed93_J20_M10,"[0.040605, 0.801870]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6681,11,2001,1.510873556137085,0.12269121389013618,False,5861.3,11,-1,5861.3
Uniform1-5000_Seed93_J20_M10,"[0.040605, 0.801870]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6524,15,15,0.0094146728515625,0.10157878602084608,True,5981.0,13,-1,5861.3
Uniform1-5000_Seed94_J20_M10,"[0.045161, 0.872650]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5571,345,2001,1.329665184020996,0.1017232094776521,False,5004.3,11,-1,5004.3
Uniform1-5000_Seed94_J20_M10,"[0.045161, 0.872650]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5445,26,26,0.007300853729248047,0.08093663911845726,True,5175.0,13,-1,5004.3
Uniform1-5000_Seed95_J20_M10,"[0.063753, 0.803684]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6503,872,2001,1.1639983654022217,0.14854682454251883,False,5537.0,10,-1,5537.0
Uniform1-5000_Seed95_J20_M10,"[0.063753, 0.803684]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6891,12,12,0.006195783615112305,0.19648817297924828,True,6283.0,10,-1,5537.0
Uniform1-5000_Seed96_J20_M10,"[0.083278, 0.842368]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5248,739,2001,1.4738123416900635,0.10535442073170725,False,4695.1,11,-1,4695.1
Uniform1-5000_Seed96_J20_M10,"[0.083278, 0.842368]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5162,34,34,0.012363910675048828,0.09044943820224711,True,4857.0,15,-1,4695.1
Uniform1-5000_Seed97_J20_M10,"[0.021115, 0.985817]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5346,12,12,0.00864863395690918,0.06094276094276098,True,5020.2,10,-1,5020.2
Uniform1-5000_Seed97_J20_M10,"[0.021115, 0.985817]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5509,11,11,0.006945133209228516,0.08872753675803234,True,5020.2,9,-1,5020.2
Uniform1-5000_Seed98_J20_M10,"[0.000551, 0.884611]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6816,37,2001,1.0960805416107178,0.2012617370892019,False,5444.2,10,-1,5444.2
Uniform1-5000_Seed98_J20_M10,"[0.000551, 0.884611]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7107,8,12,0.00858306884765625,0.23396651188968626,True,6655.0,10,-1,5444.2
Uniform1-5000_Seed99_J20_M10,"[0.011419, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4977,7,7,0.0033731460571289062,0.014667470363672896,True,4904.0,5,-1,4904.0
Uniform1-5000_Seed99_J20_M10,"[0.011419, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5061,7,7,0.0029408931732177734,0.031021537245603636,True,4904.0,5,-1,4904.0
Uniform1-5000_Seed100_J20_M10,"[0.015744, 0.982819]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5504,424,424,0.2547175884246826,0.07679869186046508,True,5081.3,13,-1,5081.3
Uniform1-5000_Seed100_J20_M10,"[0.015744, 0.982819]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5682,13,20,0.001999378204345703,0.10571981696585706,True,5192.0,13,-1,5081.3
Uniform1-5000_Seed81_J50_M25,"[0.017784, 0.987221]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5721,1543,2001,12.567145109176636,0.1743821010312883,False,4723.36,26,-1,4723.36
Uniform1-5000_Seed81_J50_M25,"[0.017784, 0.987221]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5201,54,54,0.22788691520690918,0.09183618534897141,True,4853.0,35,-1,4723.36
Uniform1-5000_Seed82_J50_M25,"[0.020997, 0.936005]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5719,25,2001,9.510554552078247,0.15057177828291657,False,4857.88,25,-1,4857.88
Uniform1-5000_Seed82_J50_M25,"[0.020997, 0.936005]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5794,36,36,0.14763092994689941,0.16156713841905418,True,5459.0,28,-1,4857.88
Uniform1-5000_Seed83_J50_M25,"[0.028709, 0.989560]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5809,1041,2001,13.215925931930542,0.14253744190049922,False,4981.0,25,-1,4981.0
Uniform1-5000_Seed83_J50_M25,"[0.028709, 0.989560]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5542,37,37,0.12056970596313477,0.10122699386503067,True,5128.0,35,-1,4981.0
Uniform1-5000_Seed84_J50_M25,"[0.027571, 0.968683]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6326,1294,2001,10.453367710113525,0.1915649699652229,False,5114.16,25,-1,5114.16
Uniform1-5000_Seed84_J50_M25,"[0.027571, 0.968683]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6436,27,27,0.12501239776611328,0.20538222498446243,True,6120.0,25,-1,5114.16
Uniform1-5000_Seed85_J50_M25,"[0.023929, 1.000000]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5197,28,28,0.09714388847351074,0.0833172984414085,True,4764.0,26,-1,4764.0
Uniform1-5000_Seed85_J50_M25,"[0.023929, 1.000000]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5080,53,53,0.22316670417785645,0.06220472440944882,True,4764.0,29,-1,4764.0
Uniform1-5000_Seed86_J50_M25,"[0.034651, 1.000000]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5316,30,30,0.1434497833251953,0.07712565838976675,True,4906.0,28,-1,4906.0
Uniform1-5000_Seed86_J50_M25,"[0.034651, 1.000000]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5403,37,37,0.12066984176635742,0.09198593374051453,True,4906.0,35,-1,4906.0
Uniform1-5000_Seed87_J50_M25,"[0.013279, 1.000000]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5220,1320,2001,9.91748571395874,0.10555555555555556,False,4669.0,25,-1,4669.0
Uniform1-5000_Seed87_J50_M25,"[0.013279, 1.000000]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4964,36,36,0.1147756576538086,0.05942788074133763,True,4708.0,31,-1,4669.0
Uniform1-5000_Seed88_J50_M25,"[0.001505, 0.929431]",25,50,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6544,1014,2001,12.488298654556274,0.18779339853300733,False,5315.08,25,-1,5315.08
Uniform1-5000_Seed88_J50_M25,"[0.001505, 0.929431]",25,50,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6434,31,31,0.10846447944641113,0.17390736711221635,True,5933.0,29,-1,5315.08
