instance,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed47_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1288,1009.3,7.11115288734436,50,1001,False,1001,,
Uniform1-1000_Seed47_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1148,1148,0.5588407516479492,64,67,True,67,,
Uniform1-1000_Seed48_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1275,1019.48,9.701961040496826,50,1001,False,1001,,
Uniform1-1000_Seed48_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1059,1059,1.0925076007843018,91,118,True,118,,
Uniform1-1000_Seed49_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1214,1014.08,8.294210195541382,60,1001,False,1001,,
Uniform1-1000_Seed49_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1217,1014.08,8.134283065795898,60,1001,False,1001,,
Uniform1-1000_Seed50_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,993,993,0.32825541496276855,48,50,True,50,,
Uniform1-1000_Seed50_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,993,993,0.4496605396270752,55,57,True,57,,
Uniform1-1000_Seed51_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1317,1042.56,7.636197328567505,50,1001,False,1001,,
Uniform1-1000_Seed51_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1283,1119,9.30179214477539,64,1001,False,1001,,
Uniform1-1000_Seed42_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1243,996,48.74794554710388,110,1001,False,1001,,
Uniform1-1000_Seed42_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1241,996,55.67453980445862,110,1001,False,1001,,
Uniform1-1000_Seed43_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1261,1009.28,49.80883264541626,111,1001,False,1001,,
Uniform1-1000_Seed43_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1269,1009.28,67.78172731399536,111,1001,False,1001,,
Uniform1-1000_Seed44_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1303,1018.62,50.22297739982605,100,1001,False,1001,,
Uniform1-1000_Seed44_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1283,1062,65.26182079315186,117,1001,False,1001,,
Uniform1-1000_Seed45_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1003,1000,7.537009954452515,150,152,True,152,,
Uniform1-1000_Seed45_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1000,1000,9.419456005096436,174,176,True,176,,
Uniform1-1000_Seed46_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1310,1024.28,51.12987422943115,100,1001,False,1001,,
Uniform1-1000_Seed46_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1077,1077,11.016148567199707,172,203,True,203,,
Uniform1-1000_Seed47_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1248,990.61,50.78814077377319,100,1001,False,1001,,
Uniform1-1000_Seed47_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1049,1046,12.006964445114136,178,213,True,213,,
Uniform1-1000_Seed48_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1287,1016.97,55.968555212020874,100,1001,False,1001,,
Uniform1-1000_Seed48_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1292,1048,69.16177916526794,112,1001,False,1001,,
Uniform1-1000_Seed49_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1060,1000,47.393718004226685,162,1001,False,1001,,
Uniform1-1000_Seed49_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1089,1000,57.4863440990448,158,1001,False,1001,,
Uniform1-1000_Seed50_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,993,993,6.16045618057251,136,138,True,138,,
Uniform1-1000_Seed50_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,995,993,8.357831716537476,157,159,True,159,,
Uniform1-1000_Seed51_J200_M100,100,200,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1328,1052.05,49.515413761138916,100,1001,False,1001,,
Uniform1-1000_Seed51_J200_M100,100,200,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1325,1091,51.04702591896057,108,1001,False,1001,,
