instance,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed43_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1257,1009.28,107.04639291763306,111,2001,False,2001,1009.28,0.19707239459029438
Uniform1-1000_Seed43_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1269,1009.28,136.22820019721985,111,2001,False,2001,1009.28,0.20466509062253746
Uniform1-1000_Seed44_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1300,1018.62,108.97365593910217,100,2001,False,2001,1018.62,0.21644615384615384
Uniform1-1000_Seed44_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1067,1065,92.17294573783875,166,1444,True,1444,1018.62,0.045342080599812554
Uniform1-1000_Seed45_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1017,1000,7.5639917850494385,149,151,True,151,948.48,0.06737463126843656
Uniform1-1000_Seed45_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1005,1000,9.142994165420532,169,171,True,171,948.48,0.056238805970149235
Uniform1-1000_Seed46_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1309,1024.28,113.79317116737366,100,2001,False,2001,1024.28,0.21750954927425517
Uniform1-1000_Seed46_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1092,1077,9.03762149810791,161,163,True,163,1024.28,0.06201465201465204
Uniform1-1000_Seed47_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1248,990.61,103.15429520606995,100,2001,False,2001,990.61,0.20624198717948716
Uniform1-1000_Seed47_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1065,1046,10.61748743057251,176,195,True,195,990.61,0.06984976525821594
Uniform1-1000_Seed48_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1287,1016.97,123.44425439834595,100,2001,False,2001,1016.97,0.20981351981351978
Uniform1-1000_Seed48_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1292,1055,139.87523937225342,113,2001,False,2001,1016.97,0.21287151702786375
Uniform1-1000_Seed49_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1059,1000,97.69136500358582,162,2001,False,2001,979.35,0.07521246458923511
Uniform1-1000_Seed49_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1089,1000,118.21153163909912,158,2001,False,2001,979.35,0.10068870523415976
Uniform1-1000_Seed50_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,993,993,6.306081056594849,136,138,True,138,923.89,0.06959718026183284
Uniform1-1000_Seed50_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1005,993,8.127576112747192,151,153,True,153,923.89,0.08070646766169155
Uniform1-1000_Seed51_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1325,1052.05,105.34653234481812,100,2001,False,2001,1052.05,0.20600000000000004
Uniform1-1000_Seed51_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1317,1103,131.94628977775574,108,2001,False,2001,1052.05,0.20117691723614278
