instance,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,976,976,0.04194235801696777,30,32,True,32,899.6,0.07827868852459013
Uniform1-1000_Seed42_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,987,976,0.05508303642272949,33,37,True,37,899.6,0.0885511651469098
Uniform1-1000_Seed43_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1245,1055.64,2.921031951904297,27,2001,False,2001,1055.64,0.1520963855421686
Uniform1-1000_Seed43_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1142,1122,0.532689094543457,36,386,True,386,1055.64,0.07562171628721533
Uniform1-1000_Seed44_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,999,999,0.045943498611450195,35,37,True,37,933.56,0.06550550550550556
Uniform1-1000_Seed44_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,999,999,0.05549144744873047,36,38,True,38,933.56,0.06550550550550556
Uniform1-1000_Seed45_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1131,972,3.131192922592163,25,2001,False,2001,959.52,0.15161803713527852
Uniform1-1000_Seed45_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1025,978,2.4404568672180176,40,2001,False,2001,959.52,0.06388292682926831
Uniform1-1000_Seed46_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1316,1022.88,3.8574678897857666,25,2001,False,2001,1022.88,0.2227355623100304
Uniform1-1000_Seed46_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1179,1156,0.05274367332458496,31,33,True,33,1022.88,0.1324173027989822
Uniform1-1000_Seed47_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1245,967,2.7911033630371094,25,2001,False,2001,961.48,0.22772690763052209
Uniform1-1000_Seed47_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1136,1127,0.04295611381530762,27,29,True,29,961.48,0.15362676056338026
Uniform1-1000_Seed48_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1106,999.52,2.8611087799072266,36,2001,False,2001,999.52,0.09627486437613021
Uniform1-1000_Seed48_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1100,999.52,2.892787456512451,36,2001,False,2001,999.52,0.09134545454545456
Uniform1-1000_Seed49_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1171,1035.24,3.03490948677063,37,2001,False,2001,1035.24,0.11593509820666097
Uniform1-1000_Seed49_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1199,1035.24,2.8098108768463135,36,2001,False,2001,1035.24,0.13658048373644704
Uniform1-1000_Seed50_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1008,993,0.026117801666259766,18,20,True,20,879.36,0.1276190476190476
Uniform1-1000_Seed50_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1011,993,0.033855438232421875,21,23,True,23,879.36,0.13020771513353113
Uniform1-1000_Seed51_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1380,1120.12,3.0153231620788574,25,2001,False,2001,1120.12,0.1883188405797102
Uniform1-1000_Seed51_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1251,1251,0.05810117721557617,35,38,True,38,1120.12,0.10462030375699449
Uniform1-1000_Seed42_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,992,976,0.6293416023254395,81,83,True,83,949.58,0.04276209677419351
Uniform1-1000_Seed42_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1086,976,13.704956293106079,68,2001,False,2001,949.58,0.12561694290976055
Uniform1-1000_Seed43_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1238,1028.2,15.543253183364868,57,2001,False,2001,1028.2,0.16946688206785135
Uniform1-1000_Seed43_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1254,1032,19.804786443710327,58,2001,False,2001,1028.2,0.1800637958532695
Uniform1-1000_Seed44_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1241,1019.42,17.598898887634277,50,2001,False,2001,1019.42,0.178549556809025
Uniform1-1000_Seed44_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1068,1056,1.0188052654266357,88,121,True,121,1019.42,0.04548689138576783
Uniform1-1000_Seed45_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,995,993,0.500922441482544,67,69,True,69,935.72,0.05957788944723615
Uniform1-1000_Seed45_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,999,993,0.8698410987854004,86,108,True,108,935.72,0.06334334334334332
Uniform1-1000_Seed46_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1195,977.78,15.198608160018921,50,2001,False,2001,977.78,0.1817740585774059
Uniform1-1000_Seed46_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1189,1025,20.564585208892822,59,2001,False,2001,977.78,0.17764507989907488
Uniform1-1000_Seed47_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1288,1009.3,14.68409013748169,50,2001,False,2001,1009.3,0.2163819875776398
Uniform1-1000_Seed47_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1160,1148,0.4847548007965088,58,60,True,60,1009.3,0.1299137931034483
Uniform1-1000_Seed48_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1268,1019.48,20.19727849960327,50,2001,False,2001,1019.48,0.19599369085173501
Uniform1-1000_Seed48_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1082,1061,1.142120361328125,88,129,True,129,1019.48,0.057781885397412185
Uniform1-1000_Seed49_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1214,1014.08,17.316827058792114,60,2001,False,2001,1014.08,0.1646787479406919
Uniform1-1000_Seed49_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1179,1014.08,14.673735618591309,60,2001,False,2001,1014.08,0.1398812553011026
Uniform1-1000_Seed50_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1009,993,0.3363029956817627,45,47,True,47,861.42,0.1462636273538157
Uniform1-1000_Seed50_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,993,993,0.42730164527893066,55,57,True,57,861.42,0.13250755287009067
Uniform1-1000_Seed51_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1317,1042.56,16.345378875732422,50,2001,False,2001,1042.56,0.2083826879271071
Uniform1-1000_Seed51_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1277,1120,17.7870454788208,64,2001,False,2001,1042.56,0.1835865309318716
Uniform1-1000_Seed42_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1243,996,99.19786095619202,110,2001,False,2001,983.4,0.20884955752212392
Uniform1-1000_Seed42_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1241,996,109.93962955474854,110,2001,False,2001,983.4,0.20757453666398068
