instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J1000_M10,"[0.000020, 0.019785]",10,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,50778,50492.9,0.018199920654296875,0,2,True,2,50497.0,0.005533892630666825
Uniform1-1000_Seed42_J1000_M10,"[0.000020, 0.019785]",10,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,50778,50492.9,0.017445087432861328,0,2,True,2,50497.0,0.005533892630666825
Uniform1-1000_Seed42_J1000_M20,"[0.000040, 0.039570]",20,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,25646,25246.45,0.049981117248535156,0,2,True,2,25260.0,0.01505108009046245
Uniform1-1000_Seed42_J1000_M20,"[0.000040, 0.039570]",20,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,25702,25246.45,0.0465548038482666,0,2,True,2,25260.0,0.017197105283635515
Uniform1-1000_Seed42_J1000_M30,"[0.000059, 0.059355]",30,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,17141,16830.966666666667,1.2344567775726318,17,19,True,19,17018.0,0.007175777375882387
Uniform1-1000_Seed42_J1000_M30,"[0.000059, 0.059355]",30,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,17148,16830.966666666667,4.602408170700073,54,56,True,56,17018.0,0.0075810590156286444
Uniform1-1000_Seed42_J1000_M40,"[0.000079, 0.079140]",40,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,12875,12623.225,46.49362754821777,204,206,True,206,12793.0,0.006368932038834952
Uniform1-1000_Seed42_J1000_M40,"[0.000079, 0.079140]",40,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,12848,12623.225,43.64808630943298,189,191,True,191,12793.0,0.004280821917808219
Uniform1-1000_Seed42_J1000_M50,"[0.000099, 0.098925]",50,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,10297,10098.58,166.81313133239746,368,370,True,370,10277.0,0.0019423132951345051
Uniform1-1000_Seed42_J1000_M50,"[0.000099, 0.098925]",50,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,10286,10098.58,243.11489915847778,458,460,True,460,10277.0,0.00087497569511958
Uniform1-1000_Seed42_J1000_M60,"[0.000119, 0.118710]",60,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,8565,8415.483333333334,333.4106864929199,483,485,True,485,8600.0,0.004069767441860465
Uniform1-1000_Seed42_J1000_M60,"[0.000119, 0.118710]",60,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,8578,8415.483333333334,388.4448153972626,537,539,True,539,8600.0,0.0025581395348837207
Uniform1-1000_Seed42_J1000_M70,"[0.000139, 0.138495]",70,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7350,7213.271428571428,450.1339271068573,527,529,True,529,7461.0,0.014877362283876157
Uniform1-1000_Seed42_J1000_M70,"[0.000139, 0.138495]",70,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7345,7213.271428571428,478.7847502231598,561,563,True,563,7461.0,0.015547513738104812
Uniform1-1000_Seed42_J1000_M80,"[0.000158, 0.158280]",80,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6436,6311.6125,872.3488838672638,704,706,True,366,6564.0,0.019500304692260818
Uniform1-1000_Seed42_J1000_M80,"[0.000158, 0.158280]",80,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6430,6311.6125,840.8183951377869,683,685,True,685,6564.0,0.020414381474710544
Uniform1-1000_Seed42_J1000_M90,"[0.000178, 0.178065]",90,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5720,5610.322222222222,1026.7519361972809,714,716,True,716,6021.0,0.04999169573160604
Uniform1-1000_Seed42_J1000_M90,"[0.000178, 0.178065]",90,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5717,5610.322222222222,973.8696522712708,697,699,True,699,6021.0,0.05048995183524332
Uniform1-1000_Seed42_J1000_M100,"[0.000198, 0.197850]",100,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5149,5049.29,1204.7912919521332,734,736,True,736,5427.0,0.051225354707941775
Uniform1-1000_Seed42_J1000_M100,"[0.000198, 0.197850]",100,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5144,5049.29,1432.361631155014,793,795,True,795,5427.0,0.0521466740372213
