instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.0816,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5017,4747.9,0.002928018569946289,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.04,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5017,4747.9,0.0025179386138916016,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.1236,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5017,4747.9,0.0010590553283691406,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.06,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5017,4747.9,0.0019066333770751953,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.1664,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5017,4747.9,0.002665281295776367,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.08,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5017,4747.9,0.0020055770874023438,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.21000000000000002,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5017,4747.9,0.0010685920715332031,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5017,4747.9,0.0,0,2,True,2,4748.0,0.053617699820609925
