instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed101_J20_M10,"[0.009012, 0.894000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6653,9,9,0.003524303436279297,0.16607545468209825,True,5548.1,7,-1,5548.1
Uniform1-5000_Seed101_J20_M10,"[0.009012, 0.894000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6704,11,11,0.002310037612915039,0.17241945107398562,True,5548.1,9,-1,5548.1
Uniform1-5000_Seed102_J20_M10,"[0.014668, 0.912358]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6163,10,10,0.0020215511322021484,0.1150413759532695,True,5454.0,8,-1,5454.0
Uniform1-5000_Seed102_J20_M10,"[0.014668, 0.912358]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6523,9,9,0.0020036697387695312,0.1638816495477541,True,5454.0,7,-1,5454.0
Uniform1-5000_Seed103_J20_M10,"[0.001890, 0.835997]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6845,10,10,0.0019347667694091797,0.14983199415631854,True,5819.4,8,-1,5819.4
Uniform1-5000_Seed103_J20_M10,"[0.001890, 0.835997]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7198,11,12,0.0024263858795166016,0.19152542372881362,True,6839.0,10,-1,5819.4
Uniform1-5000_Seed104_J20_M10,"[0.014608, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5646,6,6,0.0011665821075439453,0.15125752745306412,True,4792.0,4,-1,4792.0
Uniform1-5000_Seed104_J20_M10,"[0.014608, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5054,11,11,0.002209186553955078,0.0518401266323704,True,4792.0,9,-1,4792.0
Uniform1-5000_Seed105_J20_M10,"[0.014357, 0.955319]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5666,7,7,0.0014095306396484375,0.09031062477938578,True,5154.3,5,-1,5154.3
Uniform1-5000_Seed105_J20_M10,"[0.014357, 0.955319]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6038,8,8,0.0017974376678466797,0.1463564094070884,True,5154.3,6,-1,5154.3
Uniform1-5000_Seed106_J20_M10,"[0.001107, 0.915852]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6372,12,12,0.002245664596557617,0.14956057752667923,True,5419.0,10,-1,5419.0
Uniform1-5000_Seed106_J20_M10,"[0.001107, 0.915852]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6581,13,14,0.0027747154235839844,0.17656891049992401,True,5706.0,11,-1,5419.0
Uniform1-5000_Seed107_J20_M10,"[0.094764, 0.817126]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6969,255,255,0.04681992530822754,0.16112785191562629,True,5846.1,10,-1,5846.1
Uniform1-5000_Seed107_J20_M10,"[0.094764, 0.817126]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7082,12,12,0.002532482147216797,0.17451284947754866,True,6139.0,10,-1,5846.1
Uniform1-5000_Seed108_J20_M10,"[0.028808, 0.976914]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5554,12,12,0.002390146255493164,0.0875045012603529,True,5068.0,10,-1,5068.0
Uniform1-5000_Seed108_J20_M10,"[0.028808, 0.976914]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5614,14,14,0.0029773712158203125,0.09725685785536159,True,5068.0,12,-1,5068.0
Uniform1-5000_Seed109_J20_M10,"[0.032539, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5003,4,4,0.0008029937744140625,0.12772336598041176,True,4364.0,2,-1,4364.0
Uniform1-5000_Seed109_J20_M10,"[0.032539, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5003,4,4,0.0009315013885498047,0.12772336598041176,True,4364.0,2,-1,4364.0
Uniform1-5000_Seed110_J20_M10,"[0.105819, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5235,2,2,0.00032448768615722656,0.0775549188156638,True,4829.0,0,-1,4829.0
Uniform1-5000_Seed110_J20_M10,"[0.105819, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5235,2,2,0.0003559589385986328,0.0775549188156638,True,4829.0,0,-1,4829.0
Uniform1-5000_Seed111_J20_M10,"[0.135878, 0.960512]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5857,9,9,0.0018842220306396484,0.14304251323203007,True,5019.2,7,-1,5019.2
Uniform1-5000_Seed111_J20_M10,"[0.135878, 0.960512]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5857,9,9,0.001984834671020508,0.14304251323203007,True,5019.2,7,-1,5019.2
Uniform1-5000_Seed112_J20_M10,"[0.010465, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5564,3,3,0.0005655288696289062,0.10693745506829619,True,4969.0,1,-1,4969.0
Uniform1-5000_Seed112_J20_M10,"[0.010465, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5592,3,3,0.0006287097930908203,0.11140915593705293,True,4969.0,1,-1,4969.0
Uniform1-5000_Seed113_J20_M10,"[0.001897, 0.763370]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7445,5,5,0.001077413558959961,0.1503156480859638,True,6325.9,3,-1,6325.9
Uniform1-5000_Seed113_J20_M10,"[0.001897, 0.763370]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7398,11,11,0.002451181411743164,0.14491754528250883,True,6325.9,9,-1,6325.9
Uniform1-5000_Seed114_J20_M10,"[0.010128, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5357,4,4,0.0007960796356201172,0.09688258353556095,True,4838.0,2,-1,4838.0
Uniform1-5000_Seed114_J20_M10,"[0.010128, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5356,5,5,0.0011279582977294922,0.09671396564600448,True,4838.0,3,-1,4838.0
Uniform1-5000_Seed115_J20_M10,"[0.028606, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5641,-1,2,0.00031828880310058594,0.11380960822549194,True,4999.0,0,-1,4999.0
Uniform1-5000_Seed115_J20_M10,"[0.028606, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5641,-1,2,0.00035881996154785156,0.11380960822549194,True,4999.0,0,-1,4999.0
Uniform1-5000_Seed116_J20_M10,"[0.101981, 0.766010]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7703,21,21,0.004291534423828125,0.15347267298455144,True,6520.8,10,-1,6520.8
Uniform1-5000_Seed116_J20_M10,"[0.101981, 0.766010]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7802,10,10,0.0021893978118896484,0.16421430402460904,True,6520.8,8,-1,6520.8
Uniform1-5000_Seed117_J20_M10,"[0.033583, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5721,3,3,0.000568389892578125,0.13599021150148574,True,4943.0,1,-1,4943.0
Uniform1-5000_Seed117_J20_M10,"[0.033583, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5961,10,10,0.0020630359649658203,0.1707767153162221,True,4943.0,8,-1,4943.0
Uniform1-5000_Seed118_J20_M10,"[0.089228, 0.898774]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5532,12,12,0.0022575855255126953,0.16532899493853948,True,4617.4,10,-1,4617.4
Uniform1-5000_Seed118_J20_M10,"[0.089228, 0.898774]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5532,12,12,0.002443552017211914,0.16532899493853948,True,4617.4,10,-1,4617.4
Uniform1-5000_Seed119_J20_M10,"[0.000652, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5308,5,5,0.0009794235229492188,0.13262999246420498,True,4604.0,3,-1,4604.0
Uniform1-5000_Seed119_J20_M10,"[0.000652, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5340,5,5,0.0011353492736816406,0.13782771535580524,True,4604.0,3,-1,4604.0
Uniform1-5000_Seed120_J20_M10,"[0.002333, 1.000000]",10,20,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5391,-1,2,0.00031447410583496094,0.1255796698200705,True,4714.0,0,-1,4714.0
Uniform1-5000_Seed120_J20_M10,"[0.002333, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5391,-1,2,0.0003502368927001953,0.1255796698200705,True,4714.0,0,-1,4714.0
