instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed1_J10_M5,"[0.032054, 0.934212]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5562,2,327,0.027644872665405273,0.18669543329737498,True,5562,5,-1,4523.6
Uniform1-5000_Seed1_J10_M5,"[0.032054, 0.934212]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5562,7,7,0.0,0.18669543329737498,True,5562,5,-1,4523.6
Uniform1-5000_Seed2_J10_M5,"[0.081490, 0.895828]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6216,2,2,0.0,0.1432110682110682,True,5325.8,0,-1,5325.8
Uniform1-5000_Seed2_J10_M5,"[0.081490, 0.895828]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6216,2,2,0.0,0.1432110682110682,True,5325.8,0,-1,5325.8
Uniform1-5000_Seed3_J10_M5,"[0.184795, 0.777076]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4738,6,6,0.0,0.09772055719712959,True,4275.0,4,-1,4275.0
Uniform1-5000_Seed3_J10_M5,"[0.184795, 0.777076]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4592,5,5,0.0006699562072753906,0.06903310104529617,True,4275.0,3,-1,4275.0
Uniform1-5000_Seed4_J10_M5,"[0.038976, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4762,2,2,0.0015842914581298828,0.057118857622847546,True,4490,0,-1,4490.0
Uniform1-5000_Seed4_J10_M5,"[0.038976, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4762,2,2,0.0008914470672607422,0.057118857622847546,True,4490,0,-1,4490.0
Uniform1-5000_Seed5_J10_M5,"[0.165675, 0.912221]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4899,3,3,0.0,0.08703817105531733,True,4472.6,1,-1,4472.6
Uniform1-5000_Seed5_J10_M5,"[0.165675, 0.912221]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5171,3,3,0.0,0.1350609166505511,True,4472.6,1,-1,4472.6
Uniform1-5000_Seed6_J10_M5,"[0.047104, 0.974093]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5778,3,3,0.0,0.16227068189685018,True,4840.4,1,-1,4840.4
Uniform1-5000_Seed6_J10_M5,"[0.047104, 0.974093]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5778,5,5,0.0,0.16227068189685018,True,4840.4,3,-1,4840.4
Uniform1-5000_Seed7_J10_M5,"[0.108986, 0.872701]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5842,3,3,0.0,0.15501540568298533,True,4936.4,1,-1,4936.4
Uniform1-5000_Seed7_J10_M5,"[0.108986, 0.872701]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5228,7,7,0.003931283950805664,0.05577658760520282,True,5135,5,-1,4936.4
Uniform1-5000_Seed8_J10_M5,"[0.229535, 0.828176]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6541,2,2,0.0,0.09084237884115576,True,5946.8,0,-1,5946.8
Uniform1-5000_Seed8_J10_M5,"[0.229535, 0.828176]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6689,2,2,0.0,0.11095828972940647,True,5946.8,0,-1,5946.8
Uniform1-5000_Seed9_J10_M5,"[0.069806, 0.851894]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6123,4,4,0.0041806697845458984,0.10393597909521471,True,5486.6,2,-1,5486.6
Uniform1-5000_Seed9_J10_M5,"[0.069806, 0.851894]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6125,4,4,0.001007080078125,0.10422857142857136,True,5486.6,2,-1,5486.6
Uniform1-5000_Seed10_J10_M5,"[0.243646, 0.996452]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5452,4,4,0.0,0.11093176815847398,True,4847.2,2,-1,4847.2
Uniform1-5000_Seed10_J10_M5,"[0.243646, 0.996452]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5234,4,4,0.0008254051208496094,0.07390141383263282,True,4847.2,2,-1,4847.2
Uniform1-5000_Seed11_J10_M5,"[0.065696, 0.975971]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6076,2,2,0.0,0.16576695194206711,True,5068.8,0,-1,5068.8
Uniform1-5000_Seed11_J10_M5,"[0.065696, 0.975971]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5811,5,5,0.0,0.1277232834279814,True,5068.8,3,-1,5068.8
Uniform1-5000_Seed12_J10_M5,"[0.009325, 0.852262]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7041,5,327,0.028479814529418945,0.23843204090328082,True,7041,5,-1,5362.2
Uniform1-5000_Seed12_J10_M5,"[0.009325, 0.852262]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7041,7,7,0.003864288330078125,0.23843204090328082,True,7041,5,-1,5362.2
Uniform1-5000_Seed13_J10_M5,"[0.018624, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4027,2,2,0.0,0.0,True,4027,0,2,4027.0
Uniform1-5000_Seed13_J10_M5,"[0.018624, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4027,2,2,0.0,0.0,True,4027,0,2,4027.0
Uniform1-5000_Seed14_J10_M5,"[0.053892, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5539,2,2,0.0005233287811279297,0.1256544502617801,True,4843,0,-1,4843.0
Uniform1-5000_Seed14_J10_M5,"[0.053892, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5539,2,2,0.0,0.1256544502617801,True,4843,0,-1,4843.0
Uniform1-5000_Seed15_J10_M5,"[0.046964, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5671,3,3,0.0,0.16646094163286898,True,4727,1,-1,4727.0
Uniform1-5000_Seed15_J10_M5,"[0.046964, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5477,5,5,0.0,0.13693627898484573,True,4727,3,-1,4727.0
Uniform1-5000_Seed16_J10_M5,"[0.083974, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5106,-1,2,0.0,0.109087348217783,True,4549,0,-1,4549.0
Uniform1-5000_Seed16_J10_M5,"[0.083974, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5106,-1,2,0.0,0.109087348217783,True,4549,0,-1,4549.0
Uniform1-5000_Seed17_J10_M5,"[0.061117, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4864,3,3,0.0,0.06147203947368421,True,4565,1,-1,4565.0
Uniform1-5000_Seed17_J10_M5,"[0.061117, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4864,3,3,0.0,0.06147203947368421,True,4565,1,-1,4565.0
Uniform1-5000_Seed18_J10_M5,"[0.166600, 0.852138]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6050,2,2,0.0,0.09319008264462814,True,5486.2,0,-1,5486.2
Uniform1-5000_Seed18_J10_M5,"[0.166600, 0.852138]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6257,4,4,0.0003867149353027344,0.12319002716957012,True,5486.2,2,-1,5486.2
Uniform1-5000_Seed19_J10_M5,"[0.160416, 0.901338]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5099,5,5,0.0012164115905761719,0.07330849186114928,True,4725.2,3,-1,4725.2
Uniform1-5000_Seed19_J10_M5,"[0.160416, 0.901338]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5099,6,6,0.0009095668792724609,0.07330849186114928,True,4725.2,4,-1,4725.2
Uniform1-5000_Seed20_J10_M5,"[0.102738, 0.944759]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4944,-1,2,0.0,0.06484627831715217,True,4623.4,0,-1,4623.4
Uniform1-5000_Seed20_J10_M5,"[0.102738, 0.944759]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4944,-1,2,0.0,0.06484627831715217,True,4623.4,0,-1,4623.4
Uniform1-5000_Seed21_J10_M5,"[0.010410, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4707,-1,2,0.0,0.0,True,4707,0,2,4707.0
Uniform1-5000_Seed21_J10_M5,"[0.010410, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4707,-1,2,0.0003135204315185547,0.0,True,4707,0,2,4707.0
Uniform1-5000_Seed22_J10_M5,"[0.072346, 0.994812]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5887,-1,2,0.0,0.1617801936470188,True,4934.6,0,-1,4934.6
Uniform1-5000_Seed22_J10_M5,"[0.072346, 0.994812]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5887,-1,2,0.001007080078125,0.1617801936470188,True,4934.6,0,-1,4934.6
Uniform1-5000_Seed23_J10_M5,"[0.008266, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5434,2,2,0.0003523826599121094,0.10949576739050423,True,4839,0,-1,4839.0
Uniform1-5000_Seed23_J10_M5,"[0.008266, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5434,2,2,0.0,0.10949576739050423,True,4839,0,-1,4839.0
Uniform1-5000_Seed24_J10_M5,"[0.060355, 0.792161]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6414,6,6,0.0,0.11138135328967877,True,5699.6,4,-1,5699.6
Uniform1-5000_Seed24_J10_M5,"[0.060355, 0.792161]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6414,7,7,0.0018520355224609375,0.11138135328967877,True,6373,5,-1,5699.6
Uniform1-5000_Seed25_J10_M5,"[0.052653, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4862,2,2,0.0,0.0,True,4862,0,2,4862.0
Uniform1-5000_Seed25_J10_M5,"[0.052653, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4862,2,2,0.0,0.0,True,4862,0,2,4862.0
Uniform1-5000_Seed26_J10_M5,"[0.211270, 0.921941]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6103,3,3,0.0051534175872802734,0.12593806324758322,True,5334.4,1,-1,5334.4
Uniform1-5000_Seed26_J10_M5,"[0.211270, 0.921941]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6128,4,4,0.0,0.1295039164490862,True,5334.4,2,-1,5334.4
Uniform1-5000_Seed27_J10_M5,"[0.046608, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5301,3,3,0.0,0.08526693076777966,True,4849,1,-1,4849.0
Uniform1-5000_Seed27_J10_M5,"[0.046608, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4942,6,6,0.0010066032409667969,0.018818292189397005,True,4849,4,-1,4849.0
Uniform1-5000_Seed28_J10_M5,"[0.015429, 0.824567]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7873,5,327,0.027472496032714844,0.27554934586561664,True,7873,5,-1,5703.6
Uniform1-5000_Seed28_J10_M5,"[0.015429, 0.824567]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7873,3,7,0.0012607574462890625,0.27554934586561664,True,7873,5,-1,5703.6
Uniform1-5000_Seed29_J10_M5,"[0.178123, 0.866397]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5330,-1,2,0.0,0.14787992495309565,True,4541.8,0,-1,4541.8
Uniform1-5000_Seed29_J10_M5,"[0.178123, 0.866397]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5330,-1,2,0.0,0.14787992495309565,True,4541.8,0,-1,4541.8
Uniform1-5000_Seed30_J10_M5,"[0.048035, 0.908843]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6360,-1,2,0.0,0.13584905660377358,True,5496.0,0,-1,5496.0
Uniform1-5000_Seed30_J10_M5,"[0.048035, 0.908843]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6360,-1,2,0.0,0.13584905660377358,True,5496.0,0,-1,5496.0
Uniform1-5000_Seed31_J10_M5,"[0.005435, 0.905172]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5806,6,6,0.0010068416595458984,0.0809507406131588,True,5336.0,4,-1,5336.0
Uniform1-5000_Seed31_J10_M5,"[0.005435, 0.905172]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6028,7,7,0.0,0.11479761114797611,True,5806,5,-1,5336.0
Uniform1-5000_Seed32_J10_M5,"[0.047471, 0.864418]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6234,3,3,0.0,0.14507539300609554,True,5329.6,1,-1,5329.6
Uniform1-5000_Seed32_J10_M5,"[0.047471, 0.864418]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6234,4,4,0.0,0.14507539300609554,True,5329.6,2,-1,5329.6
Uniform1-5000_Seed33_J10_M5,"[0.016755, 0.945805]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4155,6,327,0.027492523193359375,0.16688327316486162,True,4155,5,-1,3461.6
Uniform1-5000_Seed33_J10_M5,"[0.016755, 0.945805]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4155,7,7,0.00099945068359375,0.16688327316486162,True,4155,5,-1,3461.6
Uniform1-5000_Seed34_J10_M5,"[0.056189, 0.814488]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6648,2,2,0.0,0.1299638989169675,True,5784.0,0,-1,5784.0
