instance,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed45_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,995,69,993,0.5252692699432373,67,69,True,69,935.72,0.05957788944723615
Uniform1-1000_Seed45_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,999,108,993,0.9131941795349121,86,108,True,108,935.72,0.06334334334334332
Uniform1-1000_Seed46_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1195,1083,977.78,15.846534013748169,50,2001,False,2001,977.78,0.1817740585774059
Uniform1-1000_Seed46_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1189,52,1025,22.463194131851196,59,2001,False,2001,977.78,0.17764507989907488
Uniform1-1000_Seed47_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1288,299,1009.3,15.42350435256958,50,2001,False,2001,1009.3,0.2163819875776398
Uniform1-1000_Seed47_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1160,60,1148,0.5030167102813721,58,60,True,60,1009.3,0.1299137931034483
Uniform1-1000_Seed48_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1268,1651,1019.48,21.021181344985962,50,2001,False,2001,1019.48,0.19599369085173501
Uniform1-1000_Seed48_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1082,129,1061,1.1629905700683594,88,129,True,129,1019.48,0.057781885397412185
Uniform1-1000_Seed49_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1214,118,1014.08,19.844043016433716,60,2001,False,2001,1014.08,0.1646787479406919
Uniform1-1000_Seed49_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1179,1105,1014.08,15.430728673934937,60,2001,False,2001,1014.08,0.1398812553011026
Uniform1-1000_Seed50_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1009,47,993,0.31770992279052734,45,47,True,47,861.42,0.1462636273538157
Uniform1-1000_Seed50_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,993,57,993,0.4385840892791748,55,57,True,57,861.42,0.13250755287009067
Uniform1-1000_Seed51_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1317,806,1042.56,17.972445011138916,50,2001,False,2001,1042.56,0.2083826879271071
Uniform1-1000_Seed51_J100_M50,50,100,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1277,129,1120,18.742464303970337,64,2001,False,2001,1042.56,0.1835865309318716
Uniform1-1000_Seed42_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1243,102,996,102.89447116851807,110,2001,False,2001,983.4,0.20884955752212392
Uniform1-1000_Seed42_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1241,104,996,110.64514493942261,110,2001,False,2001,983.4,0.20757453666398068
Uniform1-1000_Seed43_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1257,1302,1009.28,103.97385907173157,111,2001,False,2001,1009.28,0.19707239459029438
Uniform1-1000_Seed43_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1269,135,1009.28,135.57784962654114,111,2001,False,2001,1009.28,0.20466509062253746
Uniform1-1000_Seed44_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1300,1696,1018.62,105.98384308815002,100,2001,False,2001,1018.62,0.21644615384615384
Uniform1-1000_Seed44_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1067,1444,1065,91.12751483917236,166,1444,True,1444,1018.62,0.045342080599812554
Uniform1-1000_Seed45_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1017,151,1000,7.44867730140686,149,151,True,151,948.48,0.06737463126843656
Uniform1-1000_Seed45_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1005,171,1000,9.358993291854858,169,171,True,171,948.48,0.056238805970149235
Uniform1-1000_Seed46_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1309,552,1024.28,116.62756562232971,100,2001,False,2001,1024.28,0.21750954927425517
Uniform1-1000_Seed46_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1092,163,1077,8.929158449172974,161,163,True,163,1024.28,0.06201465201465204
Uniform1-1000_Seed47_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1248,946,990.61,108.116534948349,100,2001,False,2001,990.61,0.20624198717948716
Uniform1-1000_Seed47_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1065,195,1046,10.742706060409546,176,195,True,195,990.61,0.06984976525821594
Uniform1-1000_Seed48_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1287,841,1016.97,127.63868880271912,100,2001,False,2001,1016.97,0.20981351981351978
Uniform1-1000_Seed48_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1292,78,1055,141.4885218143463,113,2001,False,2001,1016.97,0.21287151702786375
Uniform1-1000_Seed49_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1059,1323,1000,97.27249932289124,162,2001,False,2001,979.35,0.07521246458923511
Uniform1-1000_Seed49_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1089,674,1000,118.46115827560425,158,2001,False,2001,979.35,0.10068870523415976
Uniform1-1000_Seed50_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,993,138,993,6.2887420654296875,136,138,True,138,923.89,0.06959718026183284
Uniform1-1000_Seed50_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1005,153,993,8.025915622711182,151,153,True,153,923.89,0.08070646766169155
Uniform1-1000_Seed51_J200_M100,100,200,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1325,1177,1052.05,106.46450853347778,100,2001,False,2001,1052.05,0.20600000000000004
Uniform1-1000_Seed51_J200_M100,100,200,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1317,96,1103,131.65686321258545,108,2001,False,2001,1052.05,0.20117691723614278
